track_id,track_name,artist_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness
55,Another Love,Tom Odell,1,2012.0,10,15,18371,83,1813673666.0,250,122,3394,19,0.0,123.0,E,Minor,45.0,13.0,54.0,70.0,0,9,4.0
56,Blinding Lights,The Weeknd,1,2019.0,11,29,43899,69,3703895074.0,672,199,3421,20,0.0,171.0,C#,Major,50.0,38.0,80.0,0.0,0,9,7.0
57,Moonlight,Kali Uchis,1,2023.0,2,24,2649,42,256483385.0,67,79,57,1,615.0,137.0,G,Minor,64.0,88.0,72.0,51.0,0,17,5.0
58,La Bachata,Manuel Turizo,1,2022.0,5,26,6804,45,1214083358.0,139,111,161,15,210.0,125.0,G,Minor,84.0,85.0,68.0,58.0,0,22,4.0
59,S91,Karol G,1,2023.0,7,14,525,41,16011326.0,34,115,39,6,216.0,128.0,C,Minor,86.0,42.0,72.0,59.0,0,9,19.0
60,Cardigan,Taylor Swift,1,2020.0,7,24,7923,29,812019557.0,106,112,142,4,215.0,130.0,C,Minor,61.0,53.0,58.0,55.0,0,27,4.0
61,Tú,"Dennis, Mc Kevin O Chris",2,2023.0,5,4,731,15,111947664.0,27,17,73,4,167.0,130.0,B,Major,86.0,59.0,96.0,50.0,1,9,5.0
62,Boy'S A Liar Pt. 2,"Pinkpantheress, Ice Spice",2,2023.0,2,3,5184,41,156338624.0,154,84,102,14,37.0,133.0,F,Major,70.0,86.0,81.0,25.0,0,25,5.0
63,Left And Right,"Charlie Puth, Bts, Jung Kook",3,2022.0,6,24,3107,39,720434240.0,38,0,4,0,0.0,101.0,D,Major,88.0,72.0,59.0,62.0,0,9,3.0
64,Beso,"Rauw Alejandro, Rosalía",2,2023.0,3,24,4053,50,357925728.0,82,121,182,12,171.0,95.0,F,Minor,77.0,53.0,64.0,74.0,0,17,14.0
65,Hey Mor,"Ozuna, Feid",2,2022.0,10,6,4637,38,674072710.0,63,79,89,11,16.0,98.0,C#,Minor,90.0,40.0,59.0,0.0,0,10,29.0
66,Yellow,Coldplay,1,1999.0,1,1,31358,43,1755214421.0,196,2,4053,5,0.0,173.0,B,Major,43.0,28.0,66.0,0.0,0,23,3.0
67,Karma,Taylor Swift,1,2022.0,10,21,3818,23,404562836.0,37,55,32,0,272.0,90.0,G#,Major,64.0,10.0,62.0,7.0,0,48,7.0
68,People,Libianca,1,2022.0,12,2,3506,56,373199958.0,105,64,169,8,529.0,198.0,A#,Minor,59.0,71.0,42.0,55.0,0,10,7.0
69,Overdrive,Post Malone,1,2023.0,7,14,410,36,14780425.0,36,32,31,1,26.0,140.0,C#,Major,56.0,48.0,73.0,0.0,0,35,4.0
70,Enchanted,Taylor Swift,1,2023.0,7,7,148,24,39578178.0,32,93,8,2,5.0,82.0,G#,Major,51.0,22.0,53.0,1.0,0,15,3.0
71,Baby Hello,"Rauw Alejandro, Bizarrap",2,2023.0,6,23,1004,35,54266102.0,42,80,58,3,169.0,130.0,C#,Minor,77.0,84.0,89.0,17.0,0,43,5.0
72,Heat Waves,Glass Animals,1,2020.0,6,28,22543,63,2557975762.0,386,144,707,28,0.0,81.0,B,Major,76.0,53.0,53.0,44.0,0,9,9.0
73,Golden Hour,Jvke,1,2022.0,7,15,4511,36,751134527.0,70,58,109,18,230.0,94.0,C#,Minor,51.0,14.0,59.0,65.0,18,25,3.0
74,Sweater Weather,The Neighbourhood,1,2012.0,5,14,16413,61,2282771485.0,166,87,1056,1,0.0,124.0,A#,Major,61.0,41.0,81.0,5.0,2,10,3.0
75,"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,2022.0,7,6,8506,45,1356565093.0,94,65,164,14,176.0,128.0,D,Major,62.0,55.0,78.0,1.0,3,23,4.0
76,Viva La Vida,Coldplay,1,2008.0,1,1,33898,62,1592909789.0,233,0,4095,9,0.0,138.0,F,Minor,49.0,42.0,62.0,9.0,0,11,3.0
77,Here With Me,D4Vd,1,2022.0,7,17,3246,23,635412045.0,94,85,68,1,84.0,132.0,E,Major,58.0,27.0,48.0,50.0,0,12,3.0
78,Unholy,"Sam Smith, Kim Petras",2,2022.0,9,22,8576,42,1230675890.0,216,108,331,26,154.0,131.0,D,Major,71.0,24.0,47.0,1.0,0,27,9.0
79,Yandel 150,"Yandel, Feid",2,2022.0,12,20,3618,38,585695368.0,47,74,80,14,194.0,168.0,F#,Minor,78.0,58.0,73.0,5.0,0,10,7.0
80,Corazón Va,Maria Becerra,1,2023.0,6,22,370,20,43857627.0,12,16,18,4,93.0,98.0,C#,Major,68.0,40.0,79.0,33.0,0,30,6.0
81,Riptide,Vance Joy,1,1975.0,1,1,31123,55,2009094673.0,300,65,1003,1,0.0,102.0,C#,Major,48.0,50.0,73.0,43.0,0,15,4.0
82,Until I Found You,"Em Beihold, Stephen Sanchez",2,2022.0,4,22,2790,30,600976848.0,60,96,71,0,115.0,101.0,A#,Major,34.0,32.0,57.0,78.0,0,20,3.0
83,Novidade Na Área,"Mc Livinho, Dj Matt D",2,2023.0,6,23,267,9,39709092.0,9,6,25,2,72.0,130.0,F,Major,63.0,36.0,34.0,76.0,0,35,9.0
84,Back To December,Taylor Swift,1,2023.0,7,7,139,17,39228929.0,16,72,5,0,8.0,142.0,D,Major,50.0,20.0,64.0,1.0,0,12,3.0
85,Stay,"Justin Bieber, The Kid Laroi",2,2021.0,7,9,17050,36,2665343922.0,492,99,798,31,0.0,170.0,C#,Major,59.0,48.0,76.0,4.0,0,10,5.0
86,El Merengue,"Marshmello, Manuel Turizo",2,2023.0,3,3,2114,44,223633238.0,80,75,110,11,323.0,124.0,G#,Minor,78.0,70.0,68.0,3.0,1,11,4.0
87,Someone You Loved,Lewis Capaldi,1,2018.0,11,8,17836,53,2887241814.0,440,125,1800,0,0.0,110.0,C#,Major,50.0,45.0,41.0,75.0,0,11,3.0
88,Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,2022.0,5,6,8870,43,1440757818.0,104,120,141,26,49.0,92.0,C#,Minor,91.0,43.0,71.0,9.0,0,9,8.0
89,Makeba,Jain,1,2015.0,6,22,6060,53,165484133.0,150,148,2703,22,1451.0,116.0,D,Major,82.0,40.0,66.0,39.0,51,25,7.0
91,Fast Car,Luke Combs,1,2023.0,3,24,1446,12,157058870.0,57,97,35,0,429.0,98.0,G#,Major,71.0,67.0,60.0,19.0,0,12,3.0
92,What It Is,Doechii,1,2023.0,3,17,804,25,95131998.0,29,76,24,0,162.0,172.0,C#,Minor,74.0,76.0,76.0,6.0,0,10,9.0
93,Coco Chanel,"Bad Bunny, Eladio Carrion",2,2023.0,3,17,1962,38,250305248.0,28,89,29,5,82.0,150.0,D,Major,68.0,14.0,76.0,4.0,0,10,4.0
94,Don'T Blame Me,Taylor Swift,1,2017.0,11,8,4875,23,685032533.0,19,45,0,0,10.0,136.0,A,Minor,62.0,19.0,53.0,11.0,0,6,4.0
95,Still With You,Jung Kook,1,2020.0,6,5,31,39,38411956.0,2,107,8,0,0.0,88.0,C#,Minor,53.0,34.0,47.0,9.0,0,83,4.0
96,All My Life,"J. Cole, Lil Durk",2,2023.0,5,12,2175,23,144565150.0,69,145,69,2,478.0,143.0,D#,Major,83.0,69.0,44.0,15.0,0,10,33.0
97,Say Yes To Heaven,Lana Del Rey,1,2023.0,3,17,2000,46,127567540.0,49,105,63,1,0.0,100.0,F#,Minor,49.0,17.0,35.0,71.0,9,11,3.0
98,Snooze,Sza,1,2022.0,12,9,2839,25,399686758.0,58,156,42,1,236.0,143.0,F,Major,56.0,39.0,55.0,14.0,0,11,13.0
99,Summertime Sadness,Lana Del Rey,1,2011.0,1,1,20333,52,983637508.0,89,143,1632,3,200.0,112.0,C#,Minor,56.0,24.0,66.0,7.0,0,12,3.0
100,Take Two,Bts,1,2023.0,6,9,674,47,118482347.0,20,106,25,4,78.0,93.0,G,Major,62.0,57.0,59.0,3.0,0,38,3.0
101,Lover,Taylor Swift,1,2012.0,1,1,8448,23,882831184.0,160,110,163,0,5.0,206.0,G,Major,43.0,50.0,55.0,50.0,0,15,10.0
102,Too Many Nights,"Future, Metro Boomin, Don Toliver",3,2022.0,12,2,2110,58,286400165.0,17,119,19,2,266.0,88.0,G,Minor,68.0,17.0,71.0,15.0,0,11,5.0
103,Chemical,Post Malone,1,2023.0,4,14,2528,39,172825906.0,56,91,59,3,486.0,170.0,D,Major,50.0,37.0,90.0,0.0,0,12,5.0
104,Mockingbird,Eminem,1,2004.0,1,1,12985,61,1241559043.0,49,98,2394,5,204.0,84.0,E,Minor,62.0,24.0,67.0,21.0,0,13,28.0
105,New Jeans,Newjeans,1,2023.0,7,7,77,35,29562220.0,8,166,4,4,34.0,134.0,E,Minor,81.0,53.0,72.0,51.0,0,12,5.0
106,Primera Cita,Carin Leon,1,2022.0,4,20,266,27,77309611.0,6,40,6,6,202.0,158.0,A#,Major,54.0,50.0,40.0,61.0,0,10,6.0
107,Cold Heart,"Dua Lipa, Elton John, Pnau",3,2017.0,11,10,21097,52,1605224506.0,384,135,1034,37,312.0,116.0,C#,Major,80.0,92.0,80.0,4.0,0,10,3.0
108,Dandelions,Ruth B.,1,2017.0,4,28,3423,21,1116995633.0,41,100,59,1,32.0,117.0,C#,Major,61.0,45.0,69.0,2.0,0,9,3.0
109,Bones,Imagine Dragons,1,2021.0,3,11,4198,44,838079900.0,98,108,327,17,153.0,114.0,F,Minor,77.0,65.0,72.0,2.0,0,7,5.0
110,Set Fire To The Rain,Adele,1,2011.0,1,1,14739,43,1163620694.0,88,112,2163,5,519.0,108.0,D,Minor,61.0,47.0,68.0,0.0,0,13,3.0
111,Money Trees,"Kendrick Lamar, Jay Rock",2,2012.0,1,1,26792,32,1093605526.0,69,113,695,0,458.0,144.0,E,Minor,74.0,37.0,53.0,7.0,0,21,10.0
112,Tak Segampang Itu,Anggi Marito,1,2022.0,12,2,213,6,179659294.0,7,6,0,0,48.0,130.0,F,Major,51.0,18.0,44.0,76.0,0,11,3.0
113,Lagunas,"Jasiel Nuñez, Peso Pluma",2,2023.0,6,22,58,18,39058561.0,2,106,4,2,184.0,116.0,B,Major,77.0,79.0,62.0,33.0,1,15,3.0
114,Mine,Taylor Swift,1,2023.0,7,7,99,15,36912123.0,21,52,6,1,0.0,121.0,G,Major,65.0,49.0,78.0,0.0,0,17,4.0
115,Everybody Wants To Rule The World,Tears For Fears,1,1985.0,2,17,41751,25,1205951614.0,101,32,2655,0,666.0,112.0,G,Major,64.0,54.0,81.0,36.0,0,11,6.0
116,No Role Modelz,J. Cole,1,2014.0,12,9,21164,36,1791000570.0,80,65,476,0,14.0,100.0,A#,Minor,70.0,47.0,52.0,30.0,0,6,33.0
117,Tattoo,Loreen,1,2023.0,2,25,2988,59,201660859.0,74,102,145,18,925.0,150.0,D#,Minor,55.0,30.0,78.0,24.0,0,12,8.0
118,Rara Vez,"Taiu, Milo J",2,2023.0,2,8,893,38,248088961.0,19,23,24,3,88.0,120.0,F,Minor,84.0,96.0,71.0,18.0,0,34,17.0
119,Vagabundo,"Sebastián Yatra, Manuel Turizo, Beéle",3,2023.0,5,12,1094,34,90839753.0,40,58,47,8,203.0,127.0,B,Minor,82.0,89.0,85.0,4.0,0,23,6.0
120,August,Taylor Swift,1,2020.0,7,24,7324,22,607123776.0,25,81,61,1,44.0,90.0,F,Major,51.0,42.0,61.0,53.0,0,9,3.0
121,Luna,"Junior H, Peso Pluma",2,2023.0,6,22,201,11,55842345.0,19,117,8,1,74.0,128.0,A,Minor,75.0,79.0,63.0,33.0,0,15,4.0
122,Miracle,"Calvin Harris, Ellie Goulding",2,2023.0,3,10,5120,48,211050784.0,161,115,246,9,638.0,143.0,A,Major,64.0,31.0,87.0,4.0,4,8,4.0
123,Nonsense,Sabrina Carpenter,1,2022.0,7,15,2346,27,342897938.0,69,12,38,8,64.0,139.0,G#,Major,74.0,68.0,68.0,3.0,0,26,4.0
125,Por Las Noches,Peso Pluma,1,2021.0,6,11,457,24,330346424.0,8,116,4,3,2.0,92.0,A,Major,81.0,39.0,60.0,31.0,0,7,3.0
126,Feliz Cumpleaños Fe,Feid,1,2022.0,8,19,3430,38,601863821.0,45,69,52,4,3.0,95.0,F,Major,87.0,57.0,55.0,10.0,0,29,7.0
127,Can'T Hold Us,"Ray Dalton, Ryan Lewis, Macklemore",3,2011.0,8,16,6074,52,1953533826.0,201,44,6551,2,0.0,146.0,D,Major,63.0,88.0,93.0,3.0,0,10,8.0
128,Watermelon Sugar,Harry Styles,1,2019.0,11,17,21915,34,2322580122.0,437,115,1212,12,0.0,95.0,C,Major,55.0,56.0,82.0,12.0,0,34,5.0
129,Lovely,"Billie Eilish, Khalid",2,2017.0,8,11,15032,30,2355719893.0,221,96,1078,2,136.0,115.0,E,Minor,35.0,12.0,30.0,93.0,0,10,3.0
130,"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",2,2023.0,6,21,871,32,66902503.0,25,59,32,5,88.0,128.0,B,Major,78.0,59.0,65.0,10.0,0,26,5.0
131,Queencard,(G)I-Dle,1,2023.0,5,15,451,33,96273746.0,10,126,7,0,148.0,130.0,E,Minor,82.0,69.0,83.0,3.0,0,27,5.0
132,Omg,Newjeans,1,2023.0,1,2,1783,27,430977451.0,26,124,15,1,22.0,127.0,A,Minor,80.0,74.0,77.0,36.0,0,11,4.0
133,Radio,Lana Del Rey,1,2011.0,1,1,9389,46,284819874.0,24,122,282,3,368.0,150.0,D,Major,42.0,20.0,86.0,21.0,0,9,9.0
134,"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",2,2023.0,1,11,5724,44,721975598.0,119,108,254,29,22.0,122.0,D,Minor,78.0,50.0,63.0,27.0,0,9,5.0
135,505,Arctic Monkeys,1,2007.0,4,20,13985,25,1217120710.0,30,80,588,1,1.0,140.0,C,Major,52.0,20.0,85.0,0.0,0,7,5.0
136,Calling,"Swae Lee, A Boogie Wit Da Hoodie, Metro Boomin, Nav",4,2023.0,6,2,1051,16,109276132.0,31,37,31,0,189.0,140.0,C,Major,63.0,22.0,54.0,46.0,0,12,8.0
137,Trance,"Travis Scott, Young Thug, Metro Boomin",3,2022.0,12,2,1682,46,276259178.0,24,90,30,1,176.0,119.0,C#,Minor,75.0,48.0,53.0,18.0,0,18,34.0
138,Tere Vaaste,"Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",5,2023.0,5,22,182,8,54225632.0,3,88,1,0,52.0,110.0,G,Minor,76.0,96.0,72.0,32.0,0,9,4.0
139,Perfect,Ed Sheeran,1,2017.0,1,1,16596,13,2559529074.0,7,0,2094,0,0.0,95.0,G#,Major,60.0,17.0,45.0,16.0,0,11,2.0
140,Romantic Homicide,D4Vd,1,2022.0,7,20,2335,23,681583126.0,82,55,50,0,9.0,132.0,F#,Major,56.0,20.0,55.0,45.0,1,32,3.0
141,Believer,Imagine Dragons,1,2017.0,1,31,18986,23,2594040133.0,250,121,2969,10,31.0,125.0,A#,Minor,77.0,74.0,78.0,4.0,0,23,11.0
142,Novo Balanço,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",4,2023.0,5,19,283,7,81102253.0,6,9,26,1,66.0,124.0,D#,Minor,84.0,65.0,50.0,67.0,0,13,6.0
143,"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, Dj 900",2,2023.0,6,1,293,8,11956641.0,5,2,30,2,66.0,133.0,B,Minor,93.0,68.0,65.0,42.0,0,12,25.0
144,Without Me,Eminem,1,2002.0,1,1,21081,43,1687664027.0,98,76,3889,5,0.0,112.0,G,Major,92.0,67.0,66.0,0.0,0,36,9.0
145,Quema,"Sog, Ryan Castro, Peso Pluma",3,2023.0,7,13,437,31,11599388.0,17,29,26,3,208.0,97.0,C,Major,79.0,92.0,89.0,5.0,0,6,5.0
146,Stargirl Interlude,"The Weeknd, Lana Del Rey",2,2016.0,11,24,1275,32,611700552.0,13,8,5,0,1.0,90.0,F,Minor,59.0,52.0,48.0,38.0,5,10,11.0
147,Ojitos Lindos,"Bomba Estéreo, Bad Bunny",2,2022.0,5,6,6135,38,1133865788.0,71,113,99,13,28.0,80.0,D#,Minor,65.0,27.0,69.0,8.0,0,53,4.0
148,Somewhere Only We Know,Keane,1,2004.0,1,1,20015,16,1089402494.0,107,69,5239,0,558.0,172.0,A,Major,45.0,33.0,59.0,6.0,0,8,3.0
149,Those Eyes,New West,1,2019.0,5,10,1507,14,411747614.0,24,71,44,1,195.0,120.0,E,Major,60.0,24.0,35.0,73.0,0,31,3.0
150,El Gordo Trae El Mando,Chino Pacas,1,2023.0,1,27,539,21,255932395.0,7,71,4,2,13.0,140.0,G,Minor,74.0,96.0,80.0,18.0,0,5,5.0
151,Mi Bello Angel,Natanael Cano,1,2023.0,6,30,86,8,31873544.0,7,76,3,1,93.0,128.0,A,Minor,81.0,90.0,77.0,1.0,0,9,5.0
152,Bye,Peso Pluma,1,2023.0,5,26,324,14,95053634.0,13,110,8,2,60.0,122.0,C,Major,78.0,70.0,81.0,57.0,0,10,5.0
153,Danza Kuduro,"Don Omar, Lucenzo",2,2010.0,1,1,17138,37,1279434863.0,119,81,974,1,503.0,130.0,C,Major,47.0,86.0,92.0,8.0,0,5,24.0
154,Nosso Quadro,"Ana Castela, Agroplay",2,2023.0,2,2,894,9,233801632.0,14,88,66,3,72.0,160.0,A,Major,69.0,61.0,71.0,33.0,0,31,20.0
155,Locked Out Of Heaven,Bruno Mars,1,2012.0,12,5,1622,9,1481349984.0,0,0,356,0,0.0,144.0,F,Major,73.0,87.0,70.0,6.0,0,28,5.0
